key,zh-TW,en,es,de,th
ui.skill.hitnumbertooltip,"傷害次數, 負數時為分段傷害不會增加總傷害",Hit count. Negative values are split damage and won't add to the total damage.,Número de golpes. Los valores negativos representan daño dividido y no se suman al daño total.,Trefferanzahl. Negative Werte sind aufgeteilter Schaden und werden nicht zum Gesamtschaden addiert.,จำนวนฮิต ค่าติดลบเป็นความเสียหายแบบแบ่งช่วงและจะไม่เพิ่มความเสียหายรวม
ui.skill.fixedcast,固定詠唱,Fixed Cast,Lanzamiento fijo,Feste Zauberzeit,ร่ายคงที่
ui.skill.variablecast,變動詠唱,Variable Cast,Lanzamiento variable,Variable Zauberzeit,ร่ายแปรผัน
ui.skill.time,時間,Time,Tiempo,Zeit,เวลา
ui.skill.independentdelay,獨立延遲,Cooldown,Cooldown,Cooldown,คูลดาวน์
ui.skill.globaldelay,共通延遲,Global Delay,Retraso global,Globale Verzögerung,ดีเลย์รวม
ui.skill.damagetype,傷害類型,Damage Type,Tipo de daño,Schadenstyp,ประเภทความเสียหาย
ui.skill.ranged,技能遠傷,Skill Ranged Damage,Daño a distancia de habilidad,Fernkampfschaden des Skills,ความเสียหายระยะไกลของสกิล
ui.skill.critical,技能暴擊,Skill Critical,Crítico de habilidad,Skill-Kritisch,คริติคอลสกิล
ui.skill.halfcri,一半暴率,Half Critical Rate,Mitad de probabilidad crítica,Halbe Krit-Rate,อัตราคริติคอลครึ่งหนึ่ง
ui.skill.cannon,使用加農砲彈,Uses Cannon Shell,Usa proyectil de cañón,Verwendet Kanonenkugel,ใช้กระสุนปืนใหญ่
ui.skill.cart,使用手推車,Uses Pushcart,Usa carrito,Verwendet Handkarren,ใช้รถเข็น
ui.skill.halfignoredef,半無視防禦,Half Ignore DEF,Ignora la mitad de DEF,DEF halb ignorieren,มองข้าม DEF ครึ่งหนึ่ง
ui.skill.halfignoredeftooltip,將乘算DEF(後DEF)改為減算DEF,Converts Hard DEF into Soft DEF,Convierte Hard DEF en Soft DEF,Wandelt Hard DEF in Soft DEF um,เปลี่ยน Hard DEF เป็น Soft DEF
ui.skill.ignoreres,無視RES,Ignore RES,Ignorar RES,RES ignorieren,มองข้าม RES
ui.skill.ignorerestooltip,RES，最高為50%,"Ignores RES, up to a maximum of 50%",Ignora RES hasta un máximo del 50%,Ignoriert RES bis maximal 50 %,มองข้าม RES ได้สูงสุด 50%
ui.skill.laterranged,後計算技能遠傷,Ranged Damage Calculated After,Daño a distancia calculado después,Fernkampfschaden nachträglich berechnet,คำนวณความเสียหายระยะไกลภายหลัง
ui.skill.note,備註,Note,Nota,Hinweis,หมายเหตุ
ui.skill.elementtable,屬性相剋表,Element Chart,Tabla elemental,Elementtabelle,ตารางธาตุ
ui.skill.attackelement,攻擊屬性,Attack Element,Elemento de ataque,Angriffselement,ธาตุโจมตี
ui.skill.cartweight,手推車重量,Cart Weight,Peso del carrito,Karrengewicht,น้ำหนักรถเข็น
ui.skill.jobskills,職業技能,Job Skills,Habilidades de Job,Job-Skills,สกิลอาชีพ
ui.skill.extraskills,額外技能,Extra Skills,Habilidades adicionales,Zusätzliche Skills,สกิลเพิ่มเติม
ui.skill.weaponmasteryatk,武器修練ATK增加,Weapon Mastery ATK Bonus,Bonificación ATK de dominio de arma,Waffenmeisterschaft-ATK-Bonus,โบนัส ATK ความชำนาญอาวุธ
damagetype_0,物理傷害,Physical Damage,Daño físico,Physischer Schaden,ความเสียหายกายภาพ
damagetype_1,魔法傷害,Magic Damage,Daño mágico,Magischer Schaden,ความเสียหายเวท
damagetype_2,龍息傷害,Dragon Breath Damage,Daño de Aliento de Dragón,Drachenatem-Schaden,ความเสียหาย Dragon Breath
damagetype_3,陷阱傷害,Trap Damage,Daño de trampa,Fallenschaden,ความเสียหายกับดัก
damagetype_4,混和傷害,Mixed Damage,Daño mixto,Gemischter Schaden,ความเสียหายผสม
ui.elementtable.dialogtitle,屬性相剋倍率表,Element Multiplier Chart,Tabla de multiplicadores elementales,Elementmultiplikator-Tabelle,ตารางตัวคูณธาตุ
ui.elementtable.uselatest,使用新版屬性表,Use Updated Element Table,Usar tabla elemental actualizada,Aktualisierte Elementtabelle verwenden,ใช้ตารางธาตุใหม่
ui.elementtable.atkdef,攻 \ 守,Atk \ Def,Atk \ Def,Atk \ Def,Atk \ Def
ui.common.vs,對,vs,vs,vs,ต่อ
ui.skill.supportskills,輔助技能,Support Skills,Habilidades de apoyo,Unterstützungs-Skills,สกิลสนับสนุน
ui.skill.resetall,全部重置,Reset All,Restablecer todo,Alles zurücksetzen,รีเซ็ตทั้งหมด
ui.skill.fantasybook,幻想叢書,Fantasy Book,Libro de fantasía,Fantasiebuch,หนังสือแฟนตาซี
ui.panel.atkcalc,ATK計算,ATK Calculation,ATK Cálculo,ATK Berechnung,ATK การคำนวณ
ui.panel.matkcalc,MATK計算,MATK Calculation,MATK Cálculo,MATK Berechnung,MATK การคำนวณ
ui.panel.dragonbreathcalc,龍之吐息計算,Dragon Breath Calculation,Dragon Breath Cálculo,Dragon Breath Berechnung,Dragon Breath การคำนวณ
ui.panel.trapcalc,陷阱計算,Trap Calculation,Trap Cálculo,Trap Berechnung,Trap การคำนวณ
ui.panel.mixedcalc,混傷計算,Mixed DMG Calculation,Mixed DMG Cálculo,Mixed DMG Berechnung,Mixed DMG การคำนวณ
ui.panel.defcalc,DEF計算,DEF Calculation,DEF Cálculo,DEF Berechnung,DEF การคำนวณ
ui.panel.mdefcalc,MDEF計算,MDEF Calculation,MDEF Cálculo,MDEF Berechnung,MDEF การคำนวณ
ui.panel.general,一般,General,General,Allgemein,ทั่วไป
ui.panel.survival,生存,Survival,Supervivencia,Überleben,การเอาตัวรอด
ui.panel.castdelay,詠唱 & 延遲,Cast & Delay,Lanzamiento y retraso,Zauberzeit & Verzögerung,ร่าย & ดีเลย์
ui.panel.tab.damage,傷害,Damage,Daño,Schaden,ความเสียหาย
ui.panel.tab.cast,詠唱&延遲,Cast & Delay,Lanzamiento y retraso,Zauberzeit & Verzögerung,ร่าย & ดีเลย์
ui.panel.baseatk,基礎ATK,Base ATK,ATK base,Basis-ATK,ATK พื้นฐาน
ui.panel.refinespecialatk,精練&特殊ATK加值,Refine & Special ATK Bonus,Bonificación de ATK por refinamiento y especial,Veredelungs- & Spezial-ATK-Bonus,โบนัส ATK จากการตีบวกและแบบพิเศษ
ui.panel.sizefixarrow,體型修正&箭矢傷害,Size Modifier & Arrow DMG,Modificador de tamaño y DMG de flecha,Größenmodifikator & Pfeil-DMG,ตัวปรับขนาด & DMG ลูกธนู
ui.panel.totalweaponatk,總武器ATK,Total Weapon ATK,ATK total del arma,Gesamt-Waffen-ATK,ATK อาวุธรวม
ui.panel.racelevelsizeelement,種族階級體型屬性,Race/Tier/Size/Element,Raza/Rango/Tamaño/Elemento,Rasse/Rang/Größe/Element,เผ่า/ระดับ/ขนาด/ธาตุ
ui.panel.postatk,後ATK(上面兩個和),Post-ATK (Sum of Above),Post-ATK (suma de arriba),Post-ATK (Summe oben),Post-ATK (ผลรวมด้านบน)
ui.panel.finalatk,最終ATK,Final ATK,ATK final,Finale ATK,ATK สุดท้าย
ui.panel.critrangedpercent,暴傷遠傷%,Crit/Ranged DMG %,DMG crítico/a distancia %,Krit-/Fernkampf-DMG %,DMG คริติคอล/ระยะไกล %
ui.panel.skillmultidef,技能倍率&敵方DEF,Skill Multiplier & Enemy DEF,Multiplicador de habilidad y DEF enemiga,Skill-Multiplikator & Gegner-DEF,ตัวคูณสกิล & DEF ศัตรู
ui.panel.normalattackdmg,普攻傷害,Normal Attack DMG,DMG de ataque normal,Normalangriff-DMG,DMG โจมตีปกติ
ui.panel.normalattackdmgcrit,普攻傷害(暴擊),Normal Attack DMG (Crit),DMG de ataque normal (crítico),Normalangriff-DMG (Krit),DMG โจมตีปกติ (คริติคอล)
ui.panel.normalattackdps,普攻DPS,Normal Attack DPS,DPS de ataque normal,Normalangriff-DPS,DPS โจมตีปกติ
ui.panel.skilldmg,技能傷害,Skill DMG,DMG de habilidad,Skill-DMG,DMG สกิล
ui.panel.skilldmgavg,技能傷害(平均),Skill DMG (Avg),DMG de habilidad (prom.),Skill-DMG (Ø),DMG สกิล (เฉลี่ย)
ui.panel.skilltotaldmg,技能總傷害,Total Skill DMG,DMG total de habilidad,Gesamt-Skill-DMG,DMG สกิลรวม
ui.panel.skilltotaldmgavg,技能總傷害(平均),Total Skill DMG (Avg),DMG total de habilidad (prom.),Gesamt-Skill-DMG (Ø),DMG สกิลรวม (เฉลี่ย)
ui.panel.skillcritdmg,技能暴擊傷害,Skill Crit DMG,DMG crítico de habilidad,Skill-Krit-DMG,DMG คริติคอลสกิล
ui.panel.skillcritdmgavg,技能暴擊傷害(平均),Skill Crit DMG (Avg),DMG crítico de habilidad (prom.),Skill-Krit-DMG (Ø),DMG คริติคอลสกิล (เฉลี่ย)
ui.panel.skilldps,技能DPS,Skill DPS,DPS de habilidad,Skill-DPS,DPS สกิล
ui.panel.currentaspd,目前ASPD,Current ASPD,ASPD actual,Aktuelle ASPD,ASPD ปัจจุบัน
ui.panel.equipmatkboost,裝備MATK&魔力增幅,Equip MATK & Magic Amp,MATK de equipo y amplificación mágica,Ausrüstungs-MATK & Magieverstärkung,MATK อุปกรณ์ & เพิ่มพลังเวท
ui.panel.finalmatk,最終MATK,Final MATK,MATK final,Finale MATK,MATK สุดท้าย
ui.panel.enemydmgreduce,敵方減傷,Enemy DMG Reduction,Reducción de DMG del enemigo,Gegnerische DMG-Reduktion,ลด DMG ของศัตรู
ui.panel.skillmulti,技能倍率,Skill Multiplier,Multiplicador de habilidad,Skill-Multiplikator,ตัวคูณสกิล
ui.panel.enemymdef,敵方MDEF,Enemy MDEF,MDEF del enemigo,Gegner-MDEF,MDEF ศัตรู
ui.panel.skilldmgboost,技能增傷,Skill DMG Boost,Aumento de DMG de habilidad,Skill-DMG-Erhöhung,เพิ่ม DMG สกิล
ui.panel.basephysicaldmg,基礎物理傷害,Base Physical DMG,DMG físico base,Physischer Basis-DMG,DMG กายภาพพื้นฐาน
ui.panel.basemagicdmg,基礎魔法傷害,Base Magic DMG,DMG mágico base,Magischer Basis-DMG,DMG เวทพื้นฐาน
ui.panel.basedmg,基礎傷害,Base DMG,DMG base,Basis-DMG,DMG พื้นฐาน
ui.panel.finaldmg,最終傷害,Final DMG,DMG final,Finaler DMG,DMG สุดท้าย
ui.panel.atkstatusbonus,Atk 素質(前)+面版後,Atk Stat (Panel),ATK de atributo (panel),ATK-Statuswert (Panel),ATK ค่าสถานะ (แผง)
ui.panel.atkbonus,ATK加值,ATK Bonus,Bonificación de ATK,ATK-Bonus,โบนัส ATK
ui.panel.weaponmasteryatk,修練Atk,Weapon Mastery ATK,ATK de dominio de arma,Waffenmeisterschaft-ATK,ATK ความชำนาญอาวุธ
ui.panel.elementalmultiplier,屬性相剋倍率,Elemental Multiplier,Multiplicador elemental,Elementmultiplikator,ตัวคูณธาตุ
ui.panel.sizefixmultiplier,體型修正倍率,Size Modifier Multiplier,Multiplicador de tamaño,Größenmodifikator,ตัวคูณขนาด
ui.panel.matkstatusbonus,Matk 素質(前)+面版後,Matk Stat (Panel),MATK de atributo (panel),MATK-Statuswert (Panel),MATK ค่าสถานะ (แผง)
ui.panel.matkbonus,MATK加值,MATK Bonus,Bonificación de MATK,MATK-Bonus,โบนัส MATK
ui.panel.damagereducerate,減傷率,DMG Reduction Rate,Tasa de reducción de DMG,DMG-Reduktionsrate,อัตราลด DMG
ui.panel.hpnaturalregen,HP自然恢復,HP Natural Regen,Regeneración natural de HP,Natürliche HP-Regeneration,ฟื้นฟู HP ตามธรรมชาติ
ui.panel.spnaturalregen,SP自然恢復,SP Natural Regen,Regeneración natural de SP,Natürliche SP-Regeneration,ฟื้นฟู SP ตามธรรมชาติ
ui.panel.hppotionrate,HP藥水恢復率,HP Potion Recovery Rate,Recuperación de poción de HP,HP-Trank-Heilungsrate,อัตราฟื้นฟูยา HP
ui.panel.sppotionrate,SP藥水恢復率,SP Potion Recovery Rate,Recuperación de poción de SP,SP-Trank-Heilungsrate,อัตราฟื้นฟูยา SP
ui.panel.every6s,每6秒回,Every 6s: ,Cada 6 s: ,Alle 6 s: ,ทุก 6 วินาที: 
ui.panel.every60s,，每60秒回,/ Every 60s: ,/ Cada 60 s: ,/ Alle 60 s: ,/ ทุก 60 วินาที: 
ui.panel.avgpersec,平均每秒回,Avg/sec: ,Prom./s: ,Ø/Sek.: ,เฉลี่ย/วินาที: 
ui.panel.every8s,每8秒回,Every 8s: ,Cada 8 s: ,Alle 8 s: ,ทุก 8 วินาที: 
ui.panel.every80s,，每80秒回,/ Every 80s: ,/ Cada 80 s: ,/ Alle 80 s: ,/ ทุก 80 วินาที: 
ui.panel.aspdfixedvalue,ASPD固定值,ASPD Fixed Value,Valor fijo de ASPD,Fester ASPD-Wert,ค่า ASPD คงที่
ui.panel.variablecastsec,變動詠唱(秒),Variable Cast (sec),Lanzamiento variable (s),Variable Zauberzeit (Sek.),ร่ายแปรผัน (วินาที)
ui.panel.variablecastsupport,變動詠唱(輔助技能%),Variable Cast (Support Skill %),Lanzamiento variable (habilidad de apoyo %),Variable Zauberzeit (Unterstützungs-Skill %),ร่ายแปรผัน (สกิลสนับสนุน %)
ui.panel.variablecastskill,變動詠唱(指定技能%),Variable Cast (Specified Skill %),Lanzamiento variable (habilidad especificada %),Variable Zauberzeit (festgelegter Skill %),ร่ายแปรผัน (สกิลที่ระบุ %)
ui.panel.actualcasttime,實際詠唱時間,Actual Cast Time,Tiempo real de lanzamiento,Tatsächliche Zauberzeit,เวลาร่ายจริง
ui.panel.skilldelaytime,技能延遲時間,Skill Delay Time,Tiempo de retraso de habilidad,Skill-Verzögerungszeit,เวลาดีเลย์สกิล
ui.panel.attackinterval,攻擊間隔,Attack Interval,Intervalo de ataque,Angriffsintervall,ช่วงห่างการโจมตี
ui.panel.castdelayexceedsinterval,詠唱+延遲 > 攻擊間隔時間,Cast + Delay > Attack Interval Time,Lanzamiento + retraso > intervalo de ataque,Zauberzeit + Verzögerung > Angriffsintervall,ร่าย + ดีเลย์ > ช่วงห่างการโจมตี
ui.panel.perattackpersec,每秒攻擊次數,Attacks per Second,Ataques por segundo,Angriffe pro Sekunde,จำนวนโจมตีต่อวินาที
ui.panel.notenoughgold,詠唱>1秒,Cast time exceeds 1s,El tiempo de lanzamiento supera 1 s,Zauberzeit überschreitet 1 s,เวลาร่ายเกิน 1 วินาที
ui.panel.displaymode,顯示模式,Mode,Modo,Modus,โหมด
ui.common.other,其他,Other,Otro,Sonstiges,อื่นๆ
ui.common.equip,裝備,Equipment,Equipo,Ausrüstung,อุปกรณ์
ui.panel.normalrefineatk,一般精煉ATK,Normal Refine ATK,ATK de refinamiento normal,Normale Veredelungs-ATK,ATK ตีบวกปกติ
ui.panel.normalrefinematk,一般精煉MATK,Normal Refine MATK,MATK de refinamiento normal,Normale Veredelungs-MATK,MATK ตีบวกปกติ
ui.panel.overrefineatk,過度精煉ATK,Over-Refine ATK,ATK de sobre-refinamiento,Überveredelungs-ATK,ATK ตีบวกเกิน
ui.panel.overrefinematk,過度精煉MATK,Over-Refine MATK,MATK de sobre-refinamiento,Überveredelungs-MATK,MATK ตีบวกเกิน
ui.common.supportskill,輔助技能,Support Skill,Habilidad de apoyo,Unterstützungs-Skill,สกิลสนับสนุน
ui.equip.fortarget,對,For,Para,Gegen,ต่อ
ui.equip.forallsize,對全體型,For All Sizes,Para todos los tamaños,Gegen alle Größen,ต่อทุกขนาด
ui.equip.foralllevel,對全階級,For All Tiers,Para todos los rangos,Gegen alle Ränge,ต่อทุกระดับ
ui.equip.forallrace,對全種族,For All Races,Para todas las razas,Gegen alle Rassen,ต่อทุกเผ่า
ui.equip.elementenemysuffix,屬性敵人,Element Enemies,Enemigos de ese elemento,Gegner dieses Elements,ศัตรูธาตุนั้น
ui.equip.enemyresistprefix,敵人對,Enemy,Enemigo,Gegner,ศัตรู
ui.equip.enemyresistsuffix,屬性耐性減少,Resistance Reduction,Reducción de resistencia elemental,Elementresistenz-Reduktion,ลดความต้านทานธาตุ
ui.equip.elementmagicsuffix,屬性魔法,Element Magic,Magia elemental,Elementmagie,เวทธาตุ
ui.skill.dmgboosttype,增傷,DMG Boost,Aumento de DMG,DMG-Erhöhung,เพิ่ม DMG
ui.skill.cdreductiontype,獨延減少,CD Reduction,Reducción de CD,CD-Reduktion,ลด CD
ui.common.seconds,秒,s,s,s,วิ
ui.skill.unknown,未知技能,Unknown Skill,Habilidad desconocida,Unbekannter Skill,สกิลที่ไม่รู้จัก
ui.allset.dialogtitle,配置清單(測試),Saved Builds (Beta),Configuraciones guardadas (Beta),Gespeicherte Builds (Beta),บิลด์ที่บันทึกไว้ (Beta)
ui.allset.savedlist,已儲存清單,Saved List,Lista guardada,Gespeicherte Liste,รายการที่บันทึก
ui.common.download,下載,Download,Descargar,Herunterladen,ดาวน์โหลด
ui.allset.savenotice,測試中 不會儲存額外技能選項,Beta -- extra skill options are not saved,Beta: las opciones de habilidades adicionales no se guardan,Beta – zusätzliche Skill-Optionen werden nicht gespeichert,Beta -- ตัวเลือกสกิลเพิ่มเติมจะไม่ถูกบันทึก
ui.allset.saveconfirm,儲存配置>>>,Save Build >>>,Guardar configuración >>>,Build speichern >>>,บันทึกบิลด์ >>>
ui.allset.setnamefirst,儲存前設定檔名,Set File Name Before Saving,Define el nombre del archivo antes de guardar,Vor dem Speichern einen Dateinamen festlegen,ตั้งชื่อไฟล์ก่อนบันทึก
ui.allset.filename,存檔名,File Name,Nombre de archivo,Dateiname,ชื่อไฟล์
ui.allset.filenameplaceholder,要儲存的檔名,Enter a file name,Introduce un nombre de archivo,Dateinamen eingeben,กรอกชื่อไฟล์
ui.allset.enemyname,敵人名,Enemy Name,Nombre del enemigo,Gegnername,ชื่อศัตรู
ui.common.deletetitle,確認刪除,Confirm Delete,Confirmar eliminación,Löschen bestätigen,ยืนยันการลบ
ui.equip.deleteconfirm,確定要刪除這筆裝備嗎？,Delete this equipment entry?,¿Eliminar esta entrada de equipo?,Diesen Ausrüstungseintrag löschen?,ต้องการลบอุปกรณ์รายการนี้หรือไม่?
ui.allset.deleteconfirm,確定要刪除這筆配置嗎？,Delete this saved build?,¿Eliminar esta configuración guardada?,Diesen gespeicherten Build löschen?,ต้องการลบบิลด์ที่บันทึกไว้นี้หรือไม่?
ui.equip.cardname,卡片名稱,Card Name,Nombre de carta,Kartenname,ชื่อการ์ด
ui.equip.itemname,名稱,Name,Nombre,Name,ชื่อ
ui.equip.aspdpenaltytable,攻速懲罰表,ASPD Penalty Table,Tabla de penalización de ASPD,ASPD-Malustabelle,ตารางโทษ ASPD
ui.common.aspdformula,攻速公式,ASPD Formula,Fórmula de ASPD,ASPD-Formel,สูตร ASPD
ui.common.aspdpenaltytier,攻速懲罰職等,ASPD Penalty Tier,Nivel de penalización de ASPD,ASPD-Malusstufe,ระดับโทษ ASPD
ui.common.tier34full,三轉/四轉,3rd/4th Job,3.º/4.º Job,3./4. Job,อาชีพ 3/4
ui.common.tier2full,二轉/進階二轉,2nd/Extended 2nd Job,2.º/2.º avanzado,2./Erweiterter 2. Job,อาชีพ 2/อาชีพ 2 ขั้นสูง
ui.equip.shieldcol,盾,Shield,Escudo,Schild,โล่
nav.settings,設定,Settings,Configuración,Einstellungen,การตั้งค่า
settings.empty,目前沒有可調整的設定。,No settings available yet.,No hay opciones disponibles por ahora.,Derzeit keine Einstellungen verfügbar.,ยังไม่มีการตั้งค่าให้ปรับในขณะนี้
ui.panel.apierror,連線失敗，請稍後再試,Connection failed. Please try again later.,Fallo de conexión. Inténtalo de nuevo más tarde.,Verbindung fehlgeschlagen. Bitte später erneut versuchen.,การเชื่อมต่อล้มเหลว โปรดลองใหม่อีกครั้งในภายหลัง
