SKID常數,技能名稱
NJ_KAENSIN,火炎陣
NJ_KAMAITACHI,朔風
NJ_KASUMIKIRI,霧裡砍劈
NJ_KIRIKAGE,隱身攻擊
NJ_KOUENKA,火炎花
NJ_KUNAI,投擲飛刀
NJ_NEN,念
NJ_NINPOU,忍術修練
NJ_RAIGEKISAI,雷擊碎
NJ_SHADOWJUMP,影子跳躍
NJ_SUITON,水鈍
NJ_SYURIKEN,投擲飛鏢
NJ_TATAMIGAESHI,榻榻米攻擊
NJ_TOBIDOUGU,飛刀 修練
NJ_UTSUSEMI,金蟬脫殼
NJ_ZENYNAGE,投擲金錢
NV_BASIC,基本技能
NV_BREAKTHROUGH,超越極限
NV_FIRSTAID,緊急治療
NV_HELPANGEL,救援天使
NV_TRANSCENDENCE,心靈超越
NV_TRICKDEAD,裝死
NW_AUTO_FIRING_LAUNCHER,自動射擊發射器
NW_BASIC_GRENADE,初階手榴彈
NW_GRENADES_DROPPING,落空手榴彈
NW_GRENADE_FRAGMENT,榴彈碎片
NW_GRENADE_MASTERY,榴彈精通
NW_HASTY_FIRE_IN_THE_HOLE,洞中急火
NW_HIDDEN_CARD,王牌出手
NW_INTENSIVE_AIM,專注瞄準
NW_MAGAZINE_FOR_ONE,梅格競直擊
NW_MISSION_BOMBARD,任務轟炸機
NW_ONLY_ONE_BULLET,獨一槍彈
NW_P_F_I,P.F.I
NW_SPIRAL_SHOOTING,螺旋射擊
NW_THE_VIGILANTE_AT_NIGHT,夜裡的警惕
NW_WILD_FIRE,曠野之火
OB_AKAITSUKI,不祥的紅月
OB_OBOROGENSOU,陰月的幻影
OB_ZANGETSU,變形的上弦月
PA_GOSPEL,聖音
PA_PRESSURE,神之威壓
PA_SACRIFICE,捨命攻擊
PA_SHIELDCHAIN,連續盾擊
PF_DOUBLECASTING,雙倍投擲
PF_FOGWALL,薄霧牆
PF_HPCONVERSION,HP轉換
PF_MEMORIZE,速讀術
PF_MINDBREAKER,精神撼動
PF_SOULBURN,精神耗弱術
PF_SOULCHANGE,心神互換
PF_SPIDERWEB,易燃之網
PR_ASPERSIO,撒水祈福
PR_BENEDICTIO,聖之祈福
PR_GLORIA,幸運之頌歌
PR_IMPOSITIO,神威祈福
PR_KYRIE,霸邪之陣
PR_LEXAETERNA,天使之怒
PR_LEXDIVINA,沉默之術
PR_MACEMASTERY,鈍器使用熟練度
PR_MAGNIFICAT,聖母之頌歌
PR_MAGNUS,十字驅魔攻擊
PR_REDEMPTIO,捨身取義
PR_SANCTUARY,光耀之堂
PR_SLOWPOISON,緩毒術
PR_STRECOVERY,痊癒術
PR_SUFFRAGIUM,犧牲祈福
PR_TURNUNDEAD,轉生術
RA_AIMEDBOLT,瞄準標靶
RA_ARROWSTORM,箭雨風暴
RA_CAMOUFLAGE,偽裝戰術
RA_CLUSTERBOMB,榴霰彈
RA_COBALTTRAP,深藍陷阱
RA_DETONATOR,雷管
RA_ELECTRICSHOCKER,電擊陷阱
RA_FEARBREEZE,微風恐懼
RA_FIRINGTRAP,燃燒陷阱
RA_ICEBOUNDTRAP,冰封陷阱
RA_MAGENTATRAP,紫紅陷阱
RA_MAIZETRAP,淺黃陷阱
RA_RANGERMAIN,遊俠主意
RA_RESEARCHTRAP,陷阱研究
RA_SENSITIVEKEEN,敏銳嗅覺
RA_TOOTHOFWUG,狼牙
RA_UNLIMIT,菁英狙擊
RA_VERDURETRAP,青翠陷阱
RA_WUGBITE,狼咬
RA_WUGDASH,疾狼術
RA_WUGMASTERY,召狼術
RA_WUGRIDER,騎狼術
RA_WUGSTRIKE,狼突擊
RETURN_TO_ELDICASTES,返回艾爾迪卡斯特
RG_BACKSTAP,背刺
RG_CLEANER,清洗
RG_CLOSECONFINE,緊密的約束
RG_COMPULSION,強制減價
RG_FLAGGRAFFITI,旗幟塗鴉
RG_GANGSTER,流氓天國
RG_GRAFFITI,塗鴉
RG_INTIMIDATE,脅持
RG_PLAGIARISM,抄襲
RG_RAID,潛擊
RG_SNATCHER,強奪
RG_STEALCOIN,偷錢
RG_STRIPARMOR,卸除鎧甲
RG_STRIPHELM,卸除頭盔
RG_STRIPSHIELD,卸除盾牌
RG_STRIPWEAPON,卸除武器
RG_TUNNELDRIVE,潛遁
RK_DEATHBOUND,死亡反彈
RK_DRAGONBREATH,龍之氣息
RK_DRAGONBREATH_WATER,龍之氣息-水
RK_DRAGONHOWLING,龍之咆哮
RK_DRAGONTRAINING,龍駕馭
RK_ENCHANTBLADE,魔力劍
RK_HUNDREDSPEAR,百矛穿刺
RK_IGNITIONBREAK,致命爆裂
RK_PHANTOMTHRUST,幻象突刺
RK_RUNEMASTERY,盧恩精熟
RK_SONICWAVE,音速衝擊波
RK_WINDCUTTER,風壓飛刃
RL_AM_BLAST,毀滅重擊
RL_BANISHING_BUSTER,強制驅逐
RL_B_TRAP,暗黑地獄
RL_C_MARKER,血色烙印
RL_D_TAIL,魔獸擺尾
RL_E_CHAIN,無限連鎖
RL_FALLEN_ANGEL,墮落天使
RL_FIREDANCE,殺戮暗舞
RL_FIRE_RAIN,火焰暴雨
RL_FLICKER,閃爍信號
RL_HAMMER_OF_GOD,天神憤怒
RL_HEAT_BARREL,加速子彈
RL_H_MINE,破壞怒吼
RL_MASS_SPIRAL,絕對貫穿
RL_P_ALTER,白金祭壇
RL_QD_SHOT,瞬速子彈
RL_RICHS_COIN,富翁的財貨
RL_R_TRIP,圓桌舞蹈
RL_SLUGSHOT,根源破壞
RL_S_STORM,粉碎風暴
SA_ABRACADABRA,隨機技能
SA_ADVANCEDBOOK,進化之書
SA_AUTOSPELL,自動念咒
SA_CASTCANCEL,取消施法
SA_CLASSCHANGE,變換成Boss級魔物
SA_COMA,頻死之術
SA_CREATECON,肯貝特製作
SA_DEATH,死身
SA_DELUGE,水元素領域
SA_DISPELL,魔法效果解除
SA_DRAGONOLOGY,龍知識
SA_ELEMENTFIRE,火屬性元素更換
SA_ELEMENTGROUND,地屬性元素更換
SA_ELEMENTWATER,水屬性元素更換
SA_ELEMENTWIND,風屬性元素更換
SA_FLAMELAUNCHER,火屬性附加
SA_FORTUNE,宿命
SA_FREECAST,自由施法
SA_FROSTWEAPON,水屬性附加
SA_FULLRECOVERY,完全恢復
SA_GRAVITY,GRAVITY
SA_INSTANTDEATH,當場死亡
SA_LANDPROTECTOR,地元素領域
SA_LEVELUP,升級
SA_LIGHTNINGLOADER,風屬性附加
SA_MAGICROD,魔法懲罰
SA_MONOCELL,變換成波利
SA_QUESTION,問號
SA_REVERSEORCISH,變成獸人面孔
SA_SEISMICWEAPON,地屬性附加
SA_SPELLBREAKER,念咒拆除
SA_SUMMONMONSTER,召喚魔物
SA_TAMINGMONSTER,認養寵物
SA_VIOLENTGALE,風元素領域
SA_VOLCANO,火元素領域
SC_AUTOSHADOWSPELL,自動魅影念咒
SC_BLOODYLUST,血腥欲望
SC_BODYPAINT,人體彩繪
SC_CHAOSPANIC,混沌恐慌
SC_DEADLYINFECT,致命感染
SC_DIMENSIONDOOR,異次元之門
SC_ENERVATION,面具:無力
SC_ESCAPE,緊急脫身
SC_FATALMENACE,致命威脅
SC_FEINTBOMB,虛擊炸彈
SC_GROOMY,面具:憂鬱
SC_IGNORANCE,面具:無知
SC_INVISIBILITY,透明術
SC_LAZINESS,面具:懶散
SC_MAELSTROM,漩渦
SC_MANHOLE,人孔
SC_REPRODUCE,繁殖
SC_SHADOWFORM,魅影形態
SC_STRIPACCESSARY,卸除配件
SC_TRIANGLESHOT,三角射擊
SC_UNLUCKY,面具:不幸
SC_WEAKNESS,面具:衰弱
SG_DEVIL,太陽和月亮和星星的惡魔
SG_FEEL,太陽和月亮和星星的感覺
SG_FRIEND,太陽和月亮和星星的朋友
SG_FUSION,太陽和月亮和星星的融合
SG_HATE,太陽和月亮和星星的憎惡
SG_KNOWLEDGE,太陽和月亮和星星的知識
SG_MOON_ANGER,月亮的憤怒
SG_MOON_BLESS,月亮的祝福
SG_MOON_COMFORT,月亮的平安感
SG_MOON_WARM,月亮的溫暖
SG_STAR_ANGER,星星的憤怒
SG_STAR_BLESS,星星的祝福
SG_STAR_COMFORT,星星的平安感
SG_STAR_WARM,星星的溫暖
SG_SUN_ANGER,太陽的憤怒
SG_SUN_BLESS,太陽的祝福
SG_SUN_COMFORT,太陽的平安感
SG_SUN_WARM,太陽的溫暖
SHC_DANCING_KNIFE,舞動血刃
SHC_ENCHANTING_SHADOW,迷惑魅影
SHC_ETERNAL_SLASH,永恆斬擊
SHC_FATAL_SHADOW_CROW,致命影爪
SHC_IMPACT_CRATER,神力撞擊
SHC_POTENT_VENOM,強效毒液
SHC_SAVAGE_IMPACT,野蠻衝擊
SHC_SHADOW_EXCEED,魅影強化
SHC_SHADOW_SENSE,影刃旋舞
SHC_SHADOW_STAB,暗影刺擊
SH_BLESSING_OF_MYSTICAL_CREATURES,靈物祝福
SH_CHUL_HO_SONIC_CLAW,鐵虎空心爪
SH_COLORS_OF_HYUN_ROK,玄鹿五色角
SH_COMMUNE_WITH_CHUL_HO,靈物交流:鐵虎
SH_COMMUNE_WITH_HYUN_ROK,靈物交流:玄鹿
SH_COMMUNE_WITH_KI_SUL,靈物交流:神龜
SH_HOGOGONG_STRIKE,虎高空亂打
SH_HOWLING_OF_CHUL_HO,鐵虎咆哮
SH_HYUN_ROKS_BREEZE,玄鹿葉風
SH_HYUN_ROK_CANNON,玄鹿砲
SH_KI_SUL_RAMPAGE,神龜劇烈震盪
SH_KI_SUL_WATER_SPRAYING,神龜灑水砲
SH_MARINE_FESTIVAL_OF_KI_SUL,神龜海洋慶典
SH_MYSTICAL_CREATURE_MASTERY,靈物互動
SH_SANDY_FESTIVAL_OF_KI_SUL,神龜沙雕節
SH_TEMPORARY_COMMUNION,急速交流
SJ_BOOKOFCREATINGSTAR,創星之書
SJ_BOOKOFDIMENSION,次元之書
SJ_DOCUMENT,太陽和月亮和星星的紀錄
SJ_FALLINGSTAR,流星殞落
SJ_FLASHKICK,閃光腳
SJ_FULLMOONKICK,滿月腳
SJ_GRAVITYCONTROL,重力調整
SJ_LIGHTOFMOON,月亮光輝
SJ_LIGHTOFSTAR,星星光輝
SJ_LIGHTOFSUN,太陽光輝
SJ_LUNARSTANCE,月亮英姿
SJ_NEWMOONKICK,朔月腳
SJ_NOVAEXPLOSING,新星爆炸
SJ_PROMINENCEKICK,紅焰腳
SJ_PURIFY,太陽和月亮和星星的淨化
SJ_SOLARBURST,太陽爆炸
SJ_STAREMPEROR,拳皇降臨
SJ_STARSTANCE,星星英姿
SJ_SUNSTANCE,太陽英姿
SJ_UNIVERSESTANCE,宇宙英姿
SKE_ALL_IN_THE_SKY,天羅萬象
SKE_DAWN_BREAK,晨月
SKE_ENCHANTING_SKY,天氣地神
SKE_MIDNIGHT_KICK,天晨一月
SKE_NOON_BLAST,天晨一陽
SKE_RISING_MOON,天地一月
SKE_RISING_SUN,天地一陽
SKE_SKY_MASTERY,天機修練
SKE_STAR_BURST,天命落星
SKE_STAR_CANNON,天星
SKE_SUNSET_BLAST,天陽
SKE_TWINKLING_GALAXY,天地萬星
SKE_WAR_BOOK_MASTERY,兵法修練
SL_ALCHEMIST,鍊金術師的靈魂
SL_ASSASIN,刺客的靈魂
SL_BARDDANCER,吟遊詩人和舞孃的靈魂
SL_BLACKSMITH,鐵匠的靈魂
SL_CRUSADER,十字軍的靈魂
SL_HIGH,一轉上等職業的靈魂
SL_HUNTER,獵人的靈魂
SL_KAAHI,凱阿希
SL_KAINA,凱易娜
SL_KAITE,凱易特
SL_KAIZEL,凱易哲
SL_KAUPE,凱誣僕
SL_KNIGHT,騎士的靈魂
SL_MONK,武道家的靈魂
SL_PRIEST,祭司 的靈魂
SL_ROGUE,流氓的靈魂
SL_SAGE,賢者的靈魂
SL_SKA,艾斯卡
SL_SKE,艾斯克
SL_SMA,艾斯麻
SL_SOULLINKER,悟靈士的靈魂
SL_STAR,拳聖的靈魂
SL_STIN,艾斯提
SL_STUN,艾斯敦
SL_SUPERNOVICE,超級初學者的靈魂
SL_SWOO,艾斯誣
SL_WIZARD,巫師的靈魂
SM_AUTOBERSERK,狂暴狀態
SM_BASH,狂擊
SM_ENDURE,霸體
SM_FATALBLOW,攻擊弱點
SM_MAGNUM,怒爆
SM_MOVINGRECOVERY,移動時恢復HP
SM_PROVOKE,挑釁
SM_RECOVERY,快速恢復
SM_SWORD,單手劍使用熟練度
SM_TWOHAND,雙手劍使用熟練度
SN_FALCONASSAULT,獵鷹突擊
SN_SHARPSHOOTING,銳利射擊
SN_SIGHT,狙殺瞄準
SN_WINDWALK,風之步
SOA_CIRCLE_OF_DIRECTIONS_AND_ELEMENTALS,四方五行陣
SOA_EXORCISM_OF_MALICIOUS_SOUL,死靈淨化
SOA_SOUL_GATHERING,靈魂聚集
SOA_SOUL_MASTERY,引魂術研究
SOA_SOUL_OF_HEAVEN_AND_EARTH,天地神靈
SOA_TALISMAN_MASTERY,符咒研究
SOA_TALISMAN_OF_BLACK_TORTOISE,玄武符
SOA_TALISMAN_OF_BLUE_DRAGON,青龍符
SOA_TALISMAN_OF_FIVE_ELEMENTS,五行符
SOA_TALISMAN_OF_FOUR_BEARING_GOD,四方神符
SOA_TALISMAN_OF_MAGICIAN,法師符
SOA_TALISMAN_OF_PROTECTION,護身符
SOA_TALISMAN_OF_RED_PHOENIX,朱雀符
SOA_TALISMAN_OF_SOUL_STEALING,竊魂平安符
SOA_TALISMAN_OF_WARRIOR,武士符
SOA_TALISMAN_OF_WHITE_TIGER,白虎符
SOA_TOTEM_OF_TUTELARY,城隍廟
SO_ARRULLO,搖籃曲
SO_CLOUD_KILL,雲殺
SO_DIAMONDDUST,鑽石星塵
SO_EARTHGRAVE,大地墳場
SO_EARTH_INSIGNIA,地之紋章
SO_ELECTRICWALK,電流步
SO_ELEMENTAL_SHIELD,精靈結界
SO_EL_ACTION,精靈激發
SO_EL_ANALYSIS,元素分析
SO_EL_CONTROL,精靈控制
SO_EL_CURE,精靈治癒
SO_EL_SYMPATHY,精靈交流
SO_FIREWALK,火焰步
SO_FIRE_INSIGNIA,火之紋章
SO_POISON_BUSTER,劇毒猛擊
SO_PSYCHIC_WAVE,超自然波
SO_SPELLFIST,魔力拳
SO_STRIKING,打擊強化
SO_SUMMON_AGNI,召喚火精靈阿格尼
SO_SUMMON_AQUA,召喚水精靈阿庫亞
SO_SUMMON_TERA,召喚地精靈泰拉
SO_SUMMON_VENTUS,召喚風精靈梵圖斯
SO_VACUUM_EXTREME,極限空虛
SO_VARETYR_SPEAR,聖槍刺擊
SO_WARMER,加熱術
SO_WATER_INSIGNIA,水之紋章
SO_WIND_INSIGNIA,風之紋章
SP_CURSEEXPLOSION,邪靈爆炸
SP_KAUTE,凱渥特
SP_SHA,艾斯哈
SP_SOULCOLLECT,靈魂蓄積
SP_SOULCURSE,邪惡靈魂詛咒
SP_SOULDIVISION,靈魂分裂
SP_SOULENERGY,靈魂能量研究
SP_SOULEXPLOSION,靈魂引爆
SP_SOULFAIRY,精靈靈魂
SP_SOULFALCON,隼鷹靈魂
SP_SOULGOLEM,巨人靈魂
SP_SOULREAPER,靈魂收割
SP_SOULREVOLVE,靈魂循環
SP_SOULSHADOW,影子靈魂
SP_SOULUNITY,靈魂集結
SP_SPA,艾斯帕
SP_SWHOO,艾斯核
SR_ASSIMILATEPOWER,吸氣攻
SR_CRESCENTELBOW,破碎柱
SR_CURSEDCIRCLE,咒縛陣
SR_DRAGONCOMBO,雙龍腳
SR_EARTHSHAKER,地雷震
SR_FALLENEMPIRE,大纏崩墜
SR_FLASHCOMBO,閃光連擊
SR_GATEOFHELL,羅剎破凰擊
SR_GENTLETOUCH_CHANGE,點穴-反
SR_GENTLETOUCH_CURE,點穴-快
SR_GENTLETOUCH_ENERGYGAIN,點穴-球
SR_GENTLETOUCH_QUIET,點穴-默
SR_GENTLETOUCH_REVITALIZE,點穴-活
SR_HOWLINGOFLION,獅子吼
SR_KNUCKLEARROW,修羅身彈
SR_LIGHTNINGWALK,閃電步
SR_POWERVELOCITY,全氣注入
SR_RAISINGDRAGON,潛龍昇天
SR_RAMPAGEBLASTER,爆氣散彈
SR_RIDEINLIGHTNING,雷光彈
SR_SKYNETBLOW,天羅地網
SR_TIGERCANNON,虎砲
SR_WINDMILL,旋風腿
SS_AKUMUKESU,消除惡夢
SS_ANKOKURYUUAKUMU,暗黑龍 - 噩夢
SS_ANTENPOU,暗戰砲
SS_FUUMAKOUCHIKU,風魔飛鏢–構築
SS_FUUMASHOUAKU,風魔飛鏢–掌握
SS_HITOUAKUMU,飛刀 - 噩夢
SS_KAGEAKUMU,詭影 - 噩夢
SS_KAGEGARI,詭影狩獵
SS_KAGEGISSEN,詭影閃光
SS_KAGENOMAI,詭影舞動
SS_KINRYUUHOU,金龍砲
SS_KUNAIKAITEN,飛刀-旋轉
SS_KUNAIKUSSETSU,飛刀-曲折
SS_KUNAIWAIKYOKU,飛刀–扭曲
SS_RAIDENPOU,雷電砲
SS_REIKETSUHOU,冷焰砲
SS_SEKIENHOU,火焰砲
SS_SHIMIRU,滲透
SS_SHINKIROU,海市蜃樓
SS_TOKEDASU,致命融化
ST_CHASEWALK,暗影追蹤
ST_FULLSTRIP,所有卸除
ST_PRESERVE,自由保護
ST_REJECTSWORD,霸王魂
SU_ARCLOUSEDASH,捲甲蟲暴衝
SU_BASIC_SKILL,新基本技能
SU_BITE,狠咬
SU_BUNCHOFSHRIMP,蝦群
SU_CHATTERING,喵喵不休
SU_CN_METEOR,貓薄荷隕石
SU_CN_POWDERING,貓薄荷灑粉
SU_FRESHSHRIMP,活蝦
SU_GROOMING,舔毛
SU_HIDE,躲藏
SU_HISS,嘶嘶聲
SU_LOPE,跳躍
SU_LUNATICCARROTBEAT,瘋兔胡蘿蔔重擊
SU_MEOWMEOW,喵喵
SU_NYANGGRASS,喵喵草
SU_PICKYPECK,小雞啄擊
SU_POWEROFFLOCK,喵喵威武
SU_POWEROFLAND,大地力量
SU_POWEROFLIFE,生命力量
SU_POWEROFSEA,海洋力量
SU_PURRING,咕嚕咕嚕
SU_SCAROFTAROU,白鼠創傷
SU_SCRATCH,抓傷
SU_SHRIMPARTY,美味活蝦派對
SU_SOULATTACK,靈魂攻擊
SU_SPIRITOFLAND,大地之魂
SU_SPIRITOFLIFE,生命之魂
SU_SPIRITOFSEA,海洋之魂
SU_SPRITEMABLE,靈魂魔珠
SU_STOOP,俯身
SU_SVG_SPIRIT,野豬之魂
SU_SV_ROOTTWIST,獼猴桃根莖纏繞
SU_SV_STEMSPEAR,獼猴桃梗槍
SU_TUNABELLY,鮪魚肚肉
SU_TUNAPARTY,鮪魚派對
TF_BACKSLIDING,後退迴避
TF_DETOXIFY,解毒
TF_DOUBLE,二刀連擊
TF_HIDING,隱匿
TF_MISS,殘影
TF_PICKSTONE,撿石頭
TF_POISON,施毒
TF_SPRINKLESAND,噴砂
TF_STEAL,偷竊
TF_THROWSTONE,投擲石頭
TK_COUNTER,還擊踢
TK_DODGE,落法
TK_DOWNKICK,砸踢
TK_HIGHJUMP,跳高
TK_HPTIME,平安的休息
TK_JUMPKICK,飛腳踢
TK_MISSION,太拳任務
TK_POWER,加油
TK_READYCOUNTER,還擊準備
TK_READYDOWN,砸踢準備
TK_READYSTORM,迴旋準備
TK_READYTURN,踢準備
TK_RUN,跑步
TK_SEVENWIND,溫暖的風
TK_SPTIME,快樂的休息
TK_STORMKICK,迴旋踢
TK_TURNKICK,轉身踢
TR_AIN_RHAPSODY,礦工狂想曲
TR_GEF_NOCTURN,葛帔尼亞夜曲
TR_JAWAII_SERENADE,暮色小夜曲
TR_KVASIR_SONATA,克瓦希爾奏鳴曲
TR_METALIC_FURY,金屬狂怒
TR_MUSICAL_INTERLUDE,音樂劇插曲
TR_MYSTIC_SYMPHONY,神秘交響曲
TR_NIPELHEIM_REQUIEM,亡靈鎮魂歌
TR_PRON_MARCH,普隆德拉進行曲
TR_RETROSPECTION,美聲回顧
TR_RHYTHMSHOOTING,節奏射擊
TR_ROKI_CAPRICCIO,洛基奏鳴曲
TR_ROSEBLOSSOM,玫瑰箭矢
TR_SOUNDBLEND,混聲烙印
TR_STAGE_MANNER,舞台禮儀
WA_MOONLIT_SERENADE,月光小夜曲
WA_SWING_DANCE,搖擺舞
WA_SYMPHONY_OF_LOVER,戀人交響樂
WE_BABY,爸媽我愛您
WE_CALLALLFAMILY,當我們同在一起
WE_CALLBABY,寶貝請來這裡
WE_CALLPARENT,爸媽我想念您
WE_CALLPARTNER,想念你
WE_CHEERUP,爸比媽咪請加油
WE_FEMALE,只為你犧牲
WE_MALE,只呵護妳
WE_ONEFOREVER,生生世世永不分離
WH_ADVANCED_TRAP,高階陷阱
WH_CALAMITYGALE,憤怒暴風
WH_CRESCIVE_BOLT,漸進狙擊
WH_DEEPBLINDTRAP,深盲陷阱
WH_FLAMETRAP,火焰陷阱
WH_GALESTORM,毀滅風暴
WH_HAWKBOOMERANG,獵鷹狙擊
WH_HAWKRUSH,獵鷹奇襲
WH_HAWK_M,獵鷹精熟
WH_NATUREFRIENDLY,熱愛自然
WH_SOLIDTRAP,磐石陷阱
WH_SWIFTTRAP,急速陷阱
WH_WIND_SIGN,八風標記
WL_CHAINLIGHTNING,連鎖電擊
WL_COMET,毀滅彗星
WL_CRIMSONROCK,碧血隕石
WL_DRAINLIFE,吸星大法
WL_EARTHSTRAIN,地牛翻身
WL_FREEZE_SP,魔法保存
WL_FROSTMISTY,寒冰濃霧
WL_HELLINFERNO,地獄火焰
WL_JACKFROST,凍僵術
WL_MARSHOFABYSS,深淵沼地
WL_RADIUS,半徑擴大
WL_READING_SB,閱讀魔法書
WL_RECOGNIZEDSPELL,魔法省悟
WL_RELEASE,釋放
WL_SIENNAEXECRATE,石化詛咒
WL_SOULEXPANSION,靈魂爆炸
WL_STASIS,魔力凍結
WL_SUMMONBL,召喚雷電球
WL_SUMMONFB,召喚火焰球
WL_SUMMONSTONE,召喚石塊
WL_SUMMONWB,召喚水球
WL_TELEKINESIS_INTENSE,終極念力
WL_TETRAVORTEX,屬性漩渦
WL_WHITEIMPRISON,白色監獄
WM_BEYOND_OF_WARCRY,戰嚎的彼端
WM_DANCE_WITH_WUG,與狼共舞
WM_DEADHILLHERE,死亡峽谷
WM_FRIGG_SONG,豐年頌
WM_GLOOMYDAY,羞怯一天的憂鬱
WM_GREAT_ECHO,巨大共鳴
WM_LERADS_DEW,雷拉多露水
WM_LESSON,課程
WM_LULLABY_DEEPSLEEP,沉睡搖籃曲
WM_MELODYOFSINK,消沈旋律
WM_METALICSOUND,重金屬音樂
WM_POEMOFNETHERWORLD,絕望之歌
WM_RANDOMIZESPELL,不確定要素的語言
WM_REVERBERATION,殘響
WM_SATURDAY_NIGHT_FEVER,狂歡週末夜
WM_SEVERE_RAINSTORM,大暴雨
WM_SIRCLEOFNATURE,循環的大自然之音
WM_SONG_OF_MANA,魔力之歌
WM_SOUND_OF_DESTRUCTION,毀滅之聲
WM_UNLIMITED_HUMMING_VOICE,無限哼唱聲
WM_VOICEOFSIREN,塞壬之音
WS_CARTBOOST,手推車加速
WS_CARTTERMINATION,手推車終結技
WS_CREATECOIN,金錢鑄造
WS_CREATENUGGET,金屬塊製造
WS_MELTDOWN,野蠻凶砍
WS_OVERTHRUSTMAX,凶砍最大值
WS_SYSTEMCREATE,攻擊塔製作
WS_WEAPONREFINE,武器精煉
WZ_EARTHSPIKE,地震術
WZ_ESTIMATION,怪物情報
WZ_FIREIVY,火焰藤蔓
WZ_FIREPILLAR,火柱攻擊
WZ_FROSTNOVA,霜凍之術
WZ_HEAVENDRIVE,崩裂術
WZ_ICEWALL,冰刃之牆
WZ_JUPITEL,雷鳴術
WZ_METEOR,隕石術
WZ_QUAGMIRE,泥沼地
WZ_SIGHTBLASTER,火狩芽
WZ_SIGHTRASHER,火之獵殺
WZ_STORMGUST,暴風雪
WZ_VERMILION,怒雷強擊
WZ_WATERBALL,水球術
RK_STORMBLAST,風暴衝擊
