key,zh-TW,en,th,de,es
SOA_EXORCISM_OF_MALICIOUS_SOUL,死靈淨化,Exorcism Of Malicious Soul,,,
SOA_EXORCISM_OF_MALICIOUS_SOUL(ex),死靈淨化(邪靈詛咒/城隍廟),Exorcism Of Malicious Soul (Ex),,,
SOA_TALISMAN_OF_BLUE_DRAGON,青龍符,Talisman Of Blue Dragon,,,
SOA_TALISMAN_OF_BLUE_DRAGON(ex),青龍符(四方五行),Talisman Of Blue Dragon (Ex),,,
SOA_TALISMAN_OF_WHITE_TIGER,白虎符,Talisman Of White Tiger,,,
SOA_TALISMAN_OF_WHITE_TIGER(ex),白虎符(四方五行),Talisman Of White Tiger (Ex),,,
SOA_TALISMAN_OF_RED_PHOENIX,朱雀符,Talisman Of Red Phoenix,,,
SOA_TALISMAN_OF_RED_PHOENIX(ex),朱雀符(四方五行),Talisman Of Red Phoenix (Ex),,,
SOA_TALISMAN_OF_BLACK_TORTOISE,玄武符,Talisman Of Black Tortoise,,,
SOA_TALISMAN_OF_BLACK_TORTOISE(ex),玄武符(四方五行),Talisman Of Black Tortoise (Ex),,,
SOA_TALISMAN_OF_FOUR_BEARING_GOD,四方神符(四方五行),Talisman Of Four Bearing God,,,
SOA_CIRCLE_OF_DIRECTIONS_AND_ELEMENTALS,四方五行陣,Circle Of Directions And Elementals,,,
SU_PICKYPECK,小雞啄擊,Pickypeck,,,
SU_SV_STEMSPEAR,獼猴桃梗槍,Sv Stemspear,,,
SU_CN_METEOR,貓薄荷隕石,Cn Meteor,,,
SH_CHUL_HO_SONIC_CLAW,鐵虎空心爪,Chul Ho Sonic Claw,,,
SH_CHUL_HO_SONIC_CLAW(ex),鐵虎空心爪(交流),Chul Ho Sonic Claw (Ex),,,
SH_HOWLING_OF_CHUL_HO,鐵虎咆嘯,Howling Of Chul Ho,,,
SH_HOWLING_OF_CHUL_HO(ex),鐵虎咆嘯(交流),Howling Of Chul Ho (Ex),,,
SH_HOGOGONG_STRIKE,虎高空亂打,Hogogong Strike,,,
SH_HOGOGONG_STRIKE(ex),虎高空亂打(交流),Hogogong Strike (Ex),,,
SH_CHUL_HO_BATTERING,鐵虎亂舞,Chul Ho Battering,,,
SH_HYUN_ROKS_BREEZE,玄鹿葉風,Hyun Roks Breeze,,,
SH_HYUN_ROKS_BREEZE(ex),玄鹿葉風(交流),Hyun Roks Breeze (Ex),,,
SH_HYUN_ROK_CANNON,玄鹿砲,Hyun Rok Cannon,,,
SH_HYUN_ROK_CANNON(ex),玄鹿砲(交流),Hyun Rok Cannon (Ex),,,
SH_HYUN_ROK_SPIRIT_POWER,玄鹿靈力釋放,Hyun Rok Spirit Power,,,
HN_DOUBLEBOWLINGBASH,雙重怪物互擊,Double Bowling Bash,,,
HN_MEGA_SONIC_BLOW,巨型音速投擲,Mega Sonic Blow,,,
HN_SHIELD_CHAIN_RUSH,連續盾擊衝撞,Shield Chain Rush,,,
HN_SPIRAL_PIERCE_MAX,螺旋擊刺Max,Spiral Pierce Max,,,
HN_METEOR_STORM_BUSTER,隕石術猛擊,Meteor Storm Buster,,,
HN_JUPITEL_THUNDER_STORM,雷鳴術風暴,Jupitel Thunder Storm,,,
HN_JACK_FROST_NOVA,新霜凍術,Jack Frost Nova,,,
HN_HELLS_DRIVE,地獄毀滅,Hells Drive,,,
HN_NAPALM_VULCAN_STRIKE,念力連擊攻擊,Napalm Vulcan Strike,,,
HN_GROUND_GRAVITATION,地面重力,Ground Gravitation,,,
HN_GROUND_GRAVITATION(dot),地面重力(重力場),Ground Gravitation (Dot),,,
NormalAttack,普攻,Normalattack,,,
RK_DRAGONTRAINING,龍駕馭,Dragon Training,,,
RK_GIANTGROWTH,突里薩茲:力量成長(盧1),Giant Growth,,,
RK_FIGHTINGSPIRIT,艾伊瓦茲盧:提升鬥志(盧5),Fighting Spirit,,,
RK_LUXANIMA,力量根源:盧恩爆發(盧10),Luxanima,,,
LG_INSPIRATION,靈感,Inspiration,,,
LG_SHIELDSPELL,盾咒(Lv3),Shield Spell,,,
IG_ATTACK_STANCE,攻擊架式,Attack Stance,,,
IG_HOLY_SHIELD,抗性聖盾,Holy Shield,,,
GC_VENOMIMPRESS,毒耐性弱化,Venom Impress,,,
GC_DARKCROW,致命爪痕(對Boss階級),Dark Crow,,,
GC_POISONINGWEAPON:1,劇毒武器:熱病,Poisoningweapon:1,,,
GC_POISONINGWEAPON:2,劇毒武器:狂笑,Poisoningweapon:2,,,
GC_POISONINGWEAPON,劇毒武器:其他,Poisoning Weapon,,,
SHC_SHADOW_SENSE,影刃旋舞,Shadow Sense,,,
ABC_DAGGER_AND_BOW_M,短劍&弓弩精熟,Dagger And Bow M,,,
ABC_MAGIC_SWORD_M,魔劍精熟,Magic Sword M,,,
ABC_ABYSS_SLAYER,深淵殺手,Abyss Slayer,,,
HP_BASILICA,神聖殿堂,Basilica,,,
AB_LAUDARAMUS,折枝讚頌,Laudaramus,,,
AB_EXPIATIO,贖罪,Expiatio,,,
ALL_ODINS_POWER,奧丁之神力,Odins Power,,,
AB_SECRAMENT,聖典,Secrament,,,
AB_ORATIO,祈禱文,Oratio,,,
CD_RELIGIO,全心奉獻,Religio,,,
CD_BENEDICTUM,祝福讚歌,Benedictum,,,
CD_FIDUS_ANIMUS,靈魂忠誠,Fidus Animus,,,
CD_PRESENS_ACIES,爆裂聖光,Presens Acies,,,
CD_COMPETENTIA,神聖權能,Competentia,,,
CD_ARGUTUS_TELUM,神聖防護/光耀天命,Argutus Telum,,,
SR_GENTLETOUCH_CHANGE,點穴-反,Gentle Touch Change,,,
SR_GENTLETOUCH_REVITALIZE,點穴-活,Gentle Touch Revitalize,,,
IQ_WILL_OF_FAITH,信念意志,Will Of Faith,,,
IQ_POWERFUL_FAITH,堅毅信念,Powerful Faith,,,
IQ_FIRM_FAITH,堅定信念,Firm Faith,,,
IQ_OLEUM_SANCTUM,聖油洗禮,Oleum Sanctum,,,
MH_PYROCLASTIC,火山塵暴,Pyroclastic,,,
GN_REMODELING_CART,手推車改良,Remodeling Cart,,,
GN_SPORE,爆炸孢子狀態,Spore,,,
RA_RESEARCHTRAP,陷阱研究,Research Trap,,,
SN_SIGHT,狙殺瞄準,Sight,,,
RA_UNLIMIT,精英狙擊,Unlimit,,,
WH_CALAMITYGALE,憤怒暴風,Calamity Gale,,,
WL_RELEASE,釋放,Release,,,
WL_READING_SB,閱讀魔法書+釋放,Reading Sb,,,
WL_RECOGNIZEDSPELL,魔法省悟,Recognized Spell,,,
MagicAddicted,魔力中毒,Magicaddicted,,,
WL_TELEKINESIS_INTENSE,終極念力,Telekinesis Intense,,,
AG_TWOHANDSTAFF,雙手杖使用熟練度,Two Hand Staff,,,
AG_CLIMAX(Lv1),魔力巔峰Lv1,Climax (Lv1),,,
AG_CLIMAX(Lv3),魔力巔峰Lv3,Climax (Lv3),,,
AG_CLIMAX(Lv4),魔力巔峰Lv4,Climax (Lv4),,,
AG_ALL_BLOOM(Lv4),萬紫千紅Lv4,All Bloom (Lv4),,,
AG_CRYSTAL_IMPACT(Lv1),水晶波爆Lv1,Crystal Impact (Lv1),,,
AG_VIOLENT_QUAKE(Lv4),震裂術Lv4,Violent Quake (Lv4),,,
AG_DESTRUCTIVE_HURRICANE(Lv4),毀滅颶風Lv4,Destructive Hurricane (Lv4),,,
NC_MADOLICENCE,魔導機甲執照,Madolicence,,,
MT_RUSH,衝擊,Rush,,,
MT_QUAKE,撼動,Quake,,,
WM_LESSON,課程,Lesson,,,
MI_RUSH_WINDMILL,朝風車突擊,Rush Windmill,,,
BA_APPLEIDUN,伊登的蘋果,Appleidun,,,
WM_FRIGG_SONG,豐年頌,Frigg Song,,,
WA_MOONLIT_SERENADE,月光小夜曲,Moonlit Serenade,,,
WA_SWING_DANCE,搖擺舞,Swing Dance,,,
WM_LERADS_DEW,雷拉多露水,Lerads Dew,,,
WM_UNLIMITED_HUMMING_VOICE,無限哼唱聲,Unlimited Humming Voice,,,
WM_DANCE_WITH_WUG,與狼共舞,Dance With Wug,,,
TR_STAGE_MANNER,舞台禮儀,Stage Manner,,,
TR_PRON_MARCH,普隆德拉進行曲,Pron March,,,
TR_JAWAII_SERENADE,暮色小夜曲,Jawaii Serenade,,,
TR_MYSTIC_SYMPHONY,神秘交響曲,Mystic Symphony,,,
TR_MYSTIC_SYMPHONY(ex),神秘交響曲(人形/魚貝),Mystic Symphony (Ex),,,
SA_DRAGONOLOGY,龍知識,Dragonology,,,
SO_STRIKING,打擊強化,Striking,,,
SO_CLOUD_POSION,雲毒,Cloud Posion,,,
SO_FIRE_INSIGNIA,火之紋章(我方),Fire Insignia,,,
SO_WATER_INSIGNIA,水之紋章(我方),Water Insignia,,,
SO_WIND_INSIGNIA,風之紋章(我方),Wind Insignia,,,
SO_EARTH_INSIGNIA,地之紋章(我方),Earth Insignia,,,
SO_FIRE_INSIGNIA_ENEMY,火之紋章(敵方),Fire Insignia Enemy,,,
SO_WATER_INSIGNIA_ENEMY,水之紋章(敵方),Water Insignia Enemy,,,
SO_WIND_INSIGNIA_ENEMY,風之紋章(敵方),Wind Insignia Enemy,,,
SO_EARTH_INSIGNIA_ENEMY,地之紋章(敵方),Earth Insignia Enemy,,,
EM_MAGIC_BOOK_M,魔法書精熟,Magic Book M,,,
EM_SPELL_ENCHANTING,咒力賦予,Spell Enchanting,,,
SO_EL_CONTROL(Lv1),精靈控制Lv1,El Control (Lv1),,,
EM_SUMMON_ELEMENTAL_ARDOR,召喚元素:阿爾多雷(火),Summon Elemental Ardor,,,
EM_SUMMON_ELEMENTAL_DILUVIO,召喚元素:迪盧比奧(水),Summon Elemental Diluvio,,,
EM_SUMMON_ELEMENTAL_PROCELLA,召喚元素:普羅賽拉(風),Summon Elemental Procella,,,
EM_SUMMON_ELEMENTAL_TERREMOTUS,召喚元素:泰雷莫圖斯(地),Summon Elemental Terremotus,,,
EM_SUMMON_ELEMENTAL_SERPENS,召喚元素:塞爾彭斯(毒),Summon Elemental Serpens,,,
NJ_NEN,念,Nen,,,
KO_KAHU_ENTEN,火符:炎天,Kahu Enten,,,
KO_HYOUHU_HUBUKI,冰符:吹雪,Hyouhu Hubuki,,,
KO_KAZEHU_SEIRAN,風符:青嵐,Kazehu Seiran,,,
KO_DOHU_KOUKAI,地符:剛塊,Dohu Koukai,,,
KO_IZAYOI,十六夜,Izayoi,,,
OB_ZANGETSU,變形的上弦月,Zangetsu,,,
KG_KAGEMUSYA,影子武士,Kagemusya,,,
SS_FOUR_CHARM,四色符,Four Charm,,,
RL_RICHS_COIN,富翁的財貨,Richs Coin,,,
GS_MADNESSCANCEL,瘋狂凱斯樂,Madness Cancel,,,
GS_GATLINGFEVER,格林狂熱,Gatling Fever,,,
RL_P_ALTER,白金祭壇,P Alter,,,
NW_P_F_I,P.F.I,P F I,,,
NW_GRENADE_MASTERY,榴彈精通,Grenade Mastery,,,
NW_HIDDEN_CARD,王牌出手,Hidden Card,,,
NW_INTENSIVE_AIM,專注瞄準,Intensive Aim,,,
TK_SEVENWIND,溫暖的風,Sevenwind,,,
TK_RUN,跑步,Run,,,
TK_POWER,加油,Power,,,
SG_HATE,日月星的憎惡(怪物),Hate,,,
SG_Miracle,日月星的奇蹟,Miracle,,,
SG_FUSION,日月星的融合,Fusion,,,
SJ_SUNSTANCE,太陽英姿,Sunstance,,,
SJ_LUNARSTANCE,月亮英姿,Lunarstance,,,
SJ_STARSTANCE,星星英姿,Starstance,,,
SJ_UNIVERSESTANCE,宇宙英姿,Universestance,,,
SJ_LIGHTOFSUN,太陽光輝,Light Of Sun,,,
SJ_LIGHTOFMOON,月亮光輝,Light Of Moon,,,
SJ_LIGHTOFSTAR,星星光輝,Light Of Star,,,
SKE_WAR_BOOK_MASTERY,兵法修練,War Book Mastery,,,
SP_SOULCOLLECT,靈魂蓄積(數),Soul Collect,,,
SP_SOULSHADOW,影子靈魂,Soul Shadow,,,
SP_SOULFAIRY,精靈靈魂,Soul Fairy,,,
SP_SOULFALCON,隼鷹靈魂,Soul Falcon,,,
SP_SOULGOLEM,巨人靈魂,Soul Golem,,,
SP_SOULCURSE,邪惡靈魂詛咒,Soul Curse,,,
SOA_SOUL_MASTERY,引魂術研究,Soul Mastery,,,
SOA_TALISMAN_MASTERY,符咒研究,Talisman Mastery,,,
SOA_TALISMAN_OF_WARRIOR,武士符,Talisman Of Warrior,,,
SOA_TALISMAN_OF_MAGICIAN,法師符,Talisman Of Magician,,,
SOA_TALISMAN_OF_FIVE_ELEMENTS,五行符,Talisman Of Five Elements,,,
SOA_SOUL_OF_HEAVEN_AND_EARTH,天地神靈,Soul Of Heaven And Earth,,,
CIRCLE_OF_DIRECTIONS_AND_ELEMENTALS,四方五行狀態,Of Directions And Elementals,,,
SU_POWEROFLIFE,生命力量 (遠傷20%),Power Of Life,,,
SU_POWEROFLAND,大地力量 (Matk20%),Power Of Land,,,
SU_BUNCHOFSHRIMP,蝦群,Bunch Of Shrimp,,,
SU_ARCLOUSEDASH,捲甲蟲暴衝,Arclousedash,,,
SU_CHATTERING,喵喵/喵喵不休,Chattering,,,
SH_MYSTICAL_CREATURE_MASTERY,靈物互動,Mystical Creature Mastery,,,
SH_BLESSING_OF_MYSTICAL_CREATURES,靈物祝福,Blessing Of Mystical Creatures,,,
SH_MARINE_FESTIVAL_OF_KI_SUL,神龜海洋慶典,Marine Festival Of Ki Sul,,,
SH_SANDY_FESTIVAL_OF_KI_SUL,神龜沙雕節,Sandy Festival Of Ki Sul,,,
SH_TEMPORARY_COMMUNION,急速交流,Temporary Communion,,,
SH_COLORS_OF_HYUN_ROK,玄鹿五色角(玄鹿),Colors Of Hyun Rok,,,
NV_BREAKTHROUGH,超越極限,Break Through,,,
NV_TRANSCENDENCE,心靈超越,Transcendence,,,
HN_SELFSTUDY_TATICS,自學策略,Self Study Tatics,,,
HN_SELFSTUDY_SOCERY,自學魔法,Self Study Socery,,,
HN_BREAKINGLIMIT,突破極限,Breaking Limit,,,
HN_RULEBREAK,突破規矩,Rule Break,,,
DR_WEREWOLF,변신 : 맹수/變身:猛獸,Werewolf,,,
DR_ENRAGE_WOLF,격앙 : 맹수/狂暴:猛獸,Enrage Wolf,,,
DR_BLOOD_HOWLING,피의 포효/血之咆哮,Blood Howling,,,
DR_BEASTY_NOSE,맹수의 후각/猛獸嗅覺,Beasty Nose,,,
KR_WOLF_INSTINCT,맹수의 본능/猛獸本能,Wolf Instinct,,,
AT_SIXTH_SENSE,식스 센스/第六感,Sixth Sense,,,
DR_ENRAGE_RAPTOR,격앙 : 맹금/狂暴:猛禽,Enrage Raptor,,,
DR_PREENING,깃털 고르기/理羽,Preening,,,
DR_SHARPE_EYES,예리한 시각/敏銳視野,Sharpe Eyes,,,
KR_RAPTORIAL_INSTINCT,맹금의 본능/猛禽本能,Raptorial Instinct,,,
AT_FLIP_FLAP,플립 플랩/翻騰,Flip Flap,,,
AT_PINION_SHOT(ex),질풍 가속/疾風加速,Pinion Shot (Ex),,,
DR_NATURE_SHIELD,자연의 방패/自然之盾,Nature Shield,,,
DR_NATURE_LOGIC,자연의 이치/自然之理,Nature Logic,,,
KR_EARTH_BUD,어스 버드/大地迸發,Earth Bud,,,
KR_NATURE_VIGOUR,자연의 활력/自然活力,Nature Vigour,,,
AT_NATURE_AID,자연의 도움/自然助力,Nature Aid,,,
AT_NATURE_HARMONY,자연의 조화/自然調和,Nature Harmony,,,
F_VR_Book001,幻想叢書 001,Vr Book001,,,
F_VR_Book002,幻想叢書 002,Vr Book002,,,
F_VR_Book003,幻想叢書 003,Vr Book003,,,
F_VR_Book005,幻想叢書 005,Vr Book005,,,
F_VR_Book006,幻想叢書 006,Vr Book006,,,
F_VR_Book007,幻想叢書 007,Vr Book007,,,
